Index, Title, Author, ISBN, Language, Pages, Published, Genre, Rating, Score, Vote, Link, Author_Link, Image, Image_Small, Description 
63, Last to Die (Rizzoli & Isles #10), Tess Gerritsen,9.78035E+12, English,338," August 16, 2012"," Mystery, Thriller, Crime, Fiction, Suspense, Mystery Thriller, Detective", 4.12 avg rating - 31.552 ratings,292,3, https://www.goodreads.com/book/show/13272498-last-to-die, https://www.goodreads.com/author/show/18149.Tess_Gerritsen, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388194995i/13272498.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388194995i/13272498._SY75_.jpg," For the second time in his short life, Teddy Clock has survived a massacre. Two years ago, he barely escaped when his entire family was slaughtered. Now, at fourteen, in a hideous echo of the past, Teddy is the lone survivor of his foster family’s mass murder. Orphaned once more, the traumatized teenager has nowhere to turn—until the Boston PD puts detective Jane Rizzoli on the case. Determined to protect this young man, Jane discovers that what seemed like a coincidence is instead just one horrifying part of a relentless killer’s merciless mission. Jane spirits Teddy to the exclusive Evensong boarding school, a sanctuary where young victims of violent crime learn the secrets and skills of survival in a dangerous world. But even behind locked gates, and surrounded by acres of sheltering Maine wilderness, Jane fears that Evensong’s mysterious benefactors aren’t the only ones watching. When strange blood-splattered dolls are found dangling from a tree, Jane knows that her instincts are dead on. And when she meets Will Yablonski and Claire Ward, students whose tragic pasts bear a shocking resemblance to Teddy’s, it becomes chillingly clear that a circling predator has more than one victim in mind. Joining forces with her trusted partner, medical examiner Maura Isles, Jane is determined to keep these orphans safe from harm. But an unspeakable secret dooms the children’s fate—unless Jane and Maura can finally put an end to an obsessed killer’s twisted quest. "
64, Cold Cold Heart, Tami Hoag,9.78053E+12, English,389," January 1, 2014"," Mystery, Thriller, Fiction, Suspense, Crime, Mystery Thriller, Audiobook", 3.89 avg rating - 16.034 ratings,292,3, https://www.goodreads.com/book/show/18693918-cold-cold-heart, https://www.goodreads.com/author/show/9890.Tami_Hoag, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1382937667i/18693918.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1382937667i/18693918._SY75_.jpg," #1 New York Times bestselling author Tami Hoag delivers a shocking new thrillerDana Nolan was a promising young TV reporter until a notorious serial killer tried to add her to his list of victims.   Nearly a year has passed since surviving her ordeal, but the physical, emotional, and psychological scars run deep.   Struggling with the torment of post-traumatic stress syndrome, plagued by flashbacks and nightmares as dark as the heart of a killer, Dana returns to her hometown in an attempt to begin to put her life back together.   But home doesn’t provide the comfort she expects.  Dana’s harrowing story and her return to small town life have rekindled police and media interest in the unsolved case of her childhood best friend, Casey Grant, who disappeared without a trace the summer after their graduation from high school.   Terrified of truths long-buried, Dana reluctantly begins to look back at her past.   Viewed through the dark filter of PTSD, old friends and loved ones become suspects and enemies.   Questioning everything she knows, refusing to be defined by the traumas of her past and struggling against excruciating odds, Dana seeks out a truth that may prove too terrible to be believed…"
65, Somewhere Safe with Somebody Good (Mitford Years #12), Jan Karon,9.78097E+12, English,511," September 2, 2014"," Christian Fiction, Fiction, Christian, Inspirational, Audiobook, Adult Fiction, Contemporary", 4.28 avg rating - 13.210 ratings,288,3, https://www.goodreads.com/book/show/20702311-somewhere-safe-with-somebody-good, https://www.goodreads.com/author/show/40552.Jan_Karon, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1400863027i/20702311.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1400863027i/20702311._SY75_.jpg," After five hectic years of retirement from Lord’s Chapel, Father Tim Kavanagh returns with his wife, Cynthia, from a so-called pleasure trip to the land of his Irish ancestors. While glad to be at home in Mitford, something is definitely missing: a pulpit. But when he’s offered one, he decides he doesn’t want it. Maybe he’s lost his passion. His adopted son, Dooley, wrestles with his own passions—for the beautiful and gifted Lace Turner and his vision to become a successful country vet. Dooley’s brother, Sammy, still enraged by his mother’s abandonment, destroys one of Father Tim’s prized possessions. And Hope Murphy, owner of Happy Endings bookstore, struggles with the potential loss of her unborn child and her hard-won business. All this as Wanda’s Feel Good Café opens, a romance catches fire through an Internet word game, their former mayor hatches a re-election campaign to throw the bums out, and the weekly Muse poses a probing inquiry: Does Mitford still take care of its own?Millions of fans will applaud the chance to spend time, once more, in the often comic and utterly human presence of Jan Karon’s characters. Indeed, they have never been more sympathetic, bighearted, and engaging. "
66, The Accidental Empress (Sisi #1), Allison Pataki,9.78148E+12, English,495," February 17, 2015"," Historical Fiction, Fiction, Historical, Romance, Adult, 19th Century, Historical Romance", 3.90 avg rating - 16.958 ratings,284,3, https://www.goodreads.com/book/show/22609307-the-accidental-empress, https://www.goodreads.com/author/show/7155436.Allison_Pataki, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1424053674i/22609307.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1424053674i/22609307._SY75_.jpg," New York Times bestselling author Allison Pataki follows up on her critically acclaimed debut novel, The Traitor’s Wife, with the little-known and tumultuous love story of “Sisi” the Austro-Hungarian Empress and captivating wife of Emperor Franz Joseph. The year is 1853, and the Habsburgs are Europe’s most powerful ruling family. With his empire stretching from Austria to Russia, from Germany to Italy, Emperor Franz Joseph is young, rich, and ready to marry. Fifteen-year-old Elisabeth, “Sisi,” Duchess of Bavaria, travels to the Habsburg Court with her older sister, who is betrothed to the young emperor. But shortly after her arrival at court, Sisi finds herself in an unexpected dilemma: she has inadvertently fallen for and won the heart of her sister’s groom. Franz Joseph reneges on his earlier proposal and declares his intention to marry Sisi instead. Thrust onto the throne of Europe’s most treacherous imperial court, Sisi upsets political and familial loyalties in her quest to win, and keep, the love of her emperor, her people, and of the world. With Pataki’s rich period detail and cast of complex, bewitching characters, The Accidental Empress offers a captivating glimpse into one of history’s most intriguing royal families, shedding new light on the glittering Hapsburg Empire and its most mesmerizing, most beloved “Fairy Queen. ”"
67, What She Left Behind, Ellen Marie Wiseman, null, English,337," January 1, 2015"," Historical Fiction, Fiction, Mystery, Historical, Book Club, Audiobook, Mental Illness", 3.96 avg rating - 51.964 ratings,278,3, https://www.goodreads.com/book/show/19802332-what-she-left-behind, https://www.goodreads.com/author/show/5416814.Ellen_Marie_Wiseman, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1438168510i/19802332.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1438168510i/19802332._SX50_.jpg," In this stunning new novel, the acclaimed author of The Plum Tree merges the past and present into a haunting story about the nature of love and loyalty--and the lengths we will go to protect those who need us most. Ten years ago, Izzy Stone's mother fatally shot her father while he slept. Devastated by her mother's apparent insanity, Izzy, now seventeen, refuses to visit her in prison. But her new foster parents, employees at the local museum, have enlisted Izzy's help in cataloging items at a long-shuttered state asylum. There, amid piles of abandoned belongings, Izzy discovers a stack of unopened letters, a decades-old journal, and a window into her own past. Clara Cartwright, eighteen years old in 1929, is caught between her overbearing parents and her love for an Italian immigrant. Furious when she rejects an arranged marriage, Clara's father sends her to a genteel home for nervous invalids. But when his fortune is lost in the stock market crash, he can no longer afford her care--and Clara is committed to the public asylum. Even as Izzy deals with the challenges of yet another new beginning, Clara's story keeps drawing her into the past. If Clara was never really mentally ill, could something else explain her own mother's violent act? Piecing together Clara's fate compels Izzy to re-examine her own choices--with shocking and unexpected results. Illuminating and provocative, What She Left Behind is a masterful novel about the yearning to belong--and the mysteries that can belie even the most ordinary life. Praise For Ellen Marie Wiseman's The Plum Tree""Ellen Marie Wiseman's provocative and realistic images of a small German village are exquisite. The Plum Tree will find good company on the shelves of those who appreciated Skeletons at the Feast, by Chris Bohjalian, Sarah's Key, by Tatiana de Rosnay, and Night, by Elie Wiesel. "" --NY Journal of Books""The meticulous hand-crafted detail and emotional intensity of The Plum Tree immersed me in Germany during its darkest hours and the ordeals its citizens had to face. A must-read for WWII Fiction aficionados--and any reader who loves a transporting story. "" --Jenna Blum, New York Times bestselling author of Those Who Save Us""Wiseman eschews the genre's usual military conflicts of daily life during wartime, lending an intimate and compelling poignancy to this intriguing debut. "" --Publishers Weekly""Ellen Marie Wiseman weaves a story of intrigue, terror, and love from a perspective not often seen in Holocaust novels. "" --Jewish Book World""A haunting and beautiful debut novel. "" --Anna Jean Mayhew, author of The Dry Grass of August"
68, Trigger Warning: Short Fictions and Disturbances, Neil Gaiman,9.78006E+12, English,310," February 3, 2015"," Fantasy, Short Stories, Fiction, Horror, Science Fiction, Audiobook, Anthologies", 3.92 avg rating - 58.696 ratings,273,3, https://www.goodreads.com/book/show/22522808-trigger-warning, https://www.goodreads.com/author/show/1221698.Neil_Gaiman, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1415036119i/22522808.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1415036119i/22522808._SX50_.jpg," Multiple award winning, #1 New York Times bestselling author Neil Gaiman returns to dazzle, captivate, haunt, and entertain with this third collection of short fiction following Smoke and Mirrors and Fragile Things--which includes a never-before published American Gods story, ""Black Dog,"" written exclusively for this volume. In this new anthology, Neil Gaiman pierces the veil of reality to reveal the enigmatic, shadowy world that lies beneath. Trigger Warning includes previously published pieces of short fiction--stories, verse, and a very special Doctor Who story that was written for the fiftieth anniversary of the beloved series in 2013--as well ""Black Dog,"" a new tale that revisits the world of American Gods, exclusive to this collection. Trigger Warning explores the masks we all wear and the people we are beneath them to reveal our vulnerabilities and our truest selves. Here is a rich cornucopia of horror and ghosts stories, science fiction and fairy tales, fabulism and poetry that explore the realm of experience and emotion. In ""Adventure Story""--a thematic companion to The Ocean at the End of the Lane--Gaiman ponders death and the way people take their stories with them when they die. His social media experience ""A Calendar of Tales"" are short takes inspired by replies to fan tweets about the months of the year--stories of pirates and the March winds, an igloo made of books, and a Mother's Day card that portends disturbances in the universe. Gaiman offers his own ingenious spin on Sherlock Holmes in his award-nominated mystery tale ""The Case of Death and Honey"". And ""Click-Clack the Rattlebag"" explains the creaks and clatter we hear when we're all alone in the darkness. A sophisticated writer whose creative genius is unparalleled, Gaiman entrances with his literary alchemy, transporting us deep into the realm of imagination, where the fantastical becomes real and the everyday incandescent. Full of wonder and terror, surprises and amusements, Trigger Warning is a treasury of delights that engage the mind, stir the heart, and shake the soul from one of the most unique and popular literary artists of our day. "
69, Seveneves, Neal Stephenson, null, English,872," May 19, 2015"," Science Fiction, Fiction, Post Apocalyptic, Science Fiction Fantasy, Audiobook, Space, Fantasy",  4.00 avg rating - 110.298 ratings,200,2, https://www.goodreads.com/book/show/22816087-seveneves, https://www.goodreads.com/author/show/545.Neal_Stephenson, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1449142000i/22816087.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1449142000i/22816087._SY75_.jpg," What would happen if the world were ending?A catastrophic event renders the earth a ticking time bomb. In a feverish race against the inevitable, nations around the globe band together to devise an ambitious plan to ensure the survival of humanity far beyond our atmosphere, in outer space. But the complexities and unpredictability of human nature coupled with unforeseen challenges and dangers threaten the intrepid pioneers, until only a handful of survivors remain . . . Five thousand years later, their progeny—seven distinct races now three billion strong—embark on yet another audacious journey into the unknown . . . to an alien world utterly transformed by cataclysm and time: Earth. A writer of dazzling genius and imaginative vision, Neal Stephenson combines science, philosophy, technology, psychology, and literature in a magnificent work of speculative fiction that offers a portrait of a future that is both extraordinary and eerily recognizable. As he did in Anathem, Cryptonomicon, the Baroque Cycle, and Reamde, Stephenson explores some of our biggest ideas and perplexing challenges in a breathtaking saga that is daring, engrossing, and altogether brilliant. "
70, A Knight of the Seven Kingdoms (The Tales of Dunk and Egg #1-3), George R.R. Martin,9.78035E+12, English,355," January 1, 2013"," Fantasy, Fiction, Short Stories, Audiobook, Adventure, Epic Fantasy, High Fantasy", 4.22 avg rating - 81.425 ratings,200,2, https://www.goodreads.com/book/show/18635622-a-knight-of-the-seven-kingdoms, https://www.goodreads.com/author/show/346732.George_R_R_Martin, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1423281810i/18635622.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1423281810i/18635622._SY75_.jpg," A century before A Game of Thrones, two unlikely heroes wandered Westeros…Before Tyrion Lannister and Podrick Payne there was Dunk and Egg. A young, naïve but courageous hedge knight, Ser Duncan the Tall towers above his rivals — in stature if not experience. Tagging along is his diminutive squire, a boy called Egg — whose true name is hidden from all he and Dunk encounter. Improbable heroes though they be, great destinies lie ahead for Dunk and Egg as do powerful foes, royal intrigue, and outrageous exploits. A Knight of the Seven Kingdoms compiles the first three official prequel novellas to George R. R. Martin’s ongoing masterwork A Song of Ice and Fire. Featuring more than 160 illustrations by Gary Gianni, one of the finest fantasy artists of our time, this beautiful volume will transport readers to the world of the Seven Kingdoms in an age of bygone chivalry. "
71, The Girl in the Spider's Web (Millennium #4), David Lagercrantz, null, English,416," January 1, 2015"," Fiction, Mystery, Thriller, Crime, Mystery Thriller, Audiobook, Suspense", 3.79 avg rating - 154.006 ratings,200,2, https://www.goodreads.com/book/show/25196214-the-girl-in-the-spider-s-web, https://www.goodreads.com/author/show/242659.David_Lagercrantz, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1427843609i/25196214.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1427843609i/25196214._SX50_.jpg," #1 NATIONAL BESTSELLER • Lisbeth Salander and Mikael Blomkvist return to the Girl in the Dragon Tattoo series in this ripped-from-the-headlines, high-octane follow-up to Stieg Larsson's The Girl Who Kicked the Hornet's Nest .  • Also known as the Millennium series“Rest easy, Lisbeth Salander fans—our punk hacker heroine is in good hands. … A twisty, bloody thrill ride. … An instant page-turner. ” — USA TodayThe next installment in the Millennium a genius hacker who has always been an outsider a journalist with a penchant for danger. She is Lisbeth Salander, the girl with the dragon tattoo. He is Mikael Blomkvist, crusading editor of Millennium. One night, Blomkvist receives a call from a source who claims to have been given information vital to the United States by a young female hacker. Blomkvist, always on the lookout for a story, reaches out to Salander for help. She, as usual, has plans of her own. Together they are drawn into a ruthless underworld of spies, cybercriminals, and government operatives—some willing to kill to protect their secrets. Look for the latest book in the Girl with the Dragon Tattoo series, The Girl in the Eagle's Talons , coming soon!"
72, The Fifth Gospel, Ian Caldwell,9.78145E+12, English,431," January 1, 2014"," Fiction, Mystery, Historical Fiction, Thriller, Mystery Thriller, Religion, Audiobook", 3.73 avg rating - 10.526 ratings,198,2, https://www.goodreads.com/book/show/22609406-the-fifth-gospel, https://www.goodreads.com/author/show/11111.Ian_Caldwell, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1423486137i/22609406.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1423486137i/22609406._SY75_.jpg," A mysterious exhibit is under construction at the Vatican Museums. The curator is murdered at a clandestine meeting on the outskirts of Rome a week before it opens. That same night, a violent break-in rocks the home of Greek Catholic priest Father Alex Andreou. When the papal police fail to identify a suspect in either crime, Father Alex decides that to find the killer he must reconstruct the secret of what a little-known, true-to-life fifth gospel known as the Diatessaron reveals about the church’s most controversial holy relic. But just as he begins to understand the truth about his friend’s death and its consequences for the future of the Christian church, Father Alex discovers a ruthless stalker is hunting him—an enemy with a vested stake in the exhibit that he must outwit to survive. Rich, authentic, erudite, and emotionally searing, The Fifth Gospel is a riveting novel of suspense and a feast of biblical history that satisfies on every level. "
73, A Thousand Pieces of You (Firebird #1), Claudia Gray,9.78006E+12, English,368," November 4, 2014"," Young Adult, Science Fiction, Fantasy, Romance, Time Travel, Fiction, Dystopia", 3.90 avg rating - 56.404 ratings,198,2, https://www.goodreads.com/book/show/17234658-a-thousand-pieces-of-you, https://www.goodreads.com/author/show/1192311.Claudia_Gray, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1400166295i/17234658.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1400166295i/17234658._SY75_.jpg," Marguerite Caine's physicist parents are known for their groundbreaking achievements. Their most astonishing invention, called the Firebird, allows users to jump into multiple universes—and promises to revolutionize science forever. But then Marguerite's father is murdered, and the killer—her parent's handsome, enigmatic assistant Paul— escapes into another dimension before the law can touch him. Marguerite refuses to let the man who destroyed her family go free. So she races after Paul through different universes, always leaping into another version of herself. But she also meets alternate versions of the people she knows—including Paul, whose life entangles with hers in increasingly familiar ways. Before long she begins to question Paul's guilt—as well as her own heart. And soon she discovers the truth behind her father's death is far more sinister than she expected. "
74, Shadows (The Rephaim #1), Paula Weston,9.78192E+12, English,388," June 1, 2012"," Angels, Fantasy, Young Adult, Paranormal, Romance, Urban Fantasy, New Adult", 3.96 avg rating - 7.991 ratings,197,2, https://www.goodreads.com/book/show/13414835-shadows, https://www.goodreads.com/author/show/5446913.Paula_Weston, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1337426703i/13414835.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1337426703i/13414835._SY75_.jpg," It’s almost a year since Gaby Winters was in the car crash that killed her twin brother, Jude. Her body has healed in the sunshine of Pandanus Beach, but her grief is raw and constant. It doesn’t help that every night in her dreams she kills demons and other hell-spawn. And then Rafa comes to town. Not only does he look exactly like the guy who’s been appearing in Gaby’s dreams—he claims a history with her brother that makes no sense. Gaby is forced to accept that what she thought she knew about herself and her life is only a shadow of the truth—and that the truth is more likely to be found in the shadows of her nightmares. Who is Rafa? Who are the Rephaim? And most importantly, who can she trust?Fast-paced and gripping, Shadows, the first book in the Rephaim series. "
75, The Assassin (Isaac Bell #8), Clive Cussler,9.7804E+12, English,409," March 3, 2015"," Fiction, Adventure, Mystery, Historical Fiction, Thriller, Action, Audiobook", 4.05 avg rating - 5.407 ratings,196,2, https://www.goodreads.com/book/show/22571740-the-assassin, https://www.goodreads.com/author/show/18411.Clive_Cussler, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1405293598i/22571740.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1405293598i/22571740._SY75_.jpg," Detective Isaac Bell tracks a killer across the nation’s oilfields in this adventure in the #1 New York Times–bestselling historical series.  As Van Dorn private detective Isaac Bell strives to land a government contract to investigate John D. Rockefeller’s Standard Oil monopoly, the case takes a deadly turn. A sniper begins murdering opponents of Standard Oil, and soon the assassin—shooting with extraordinary accuracy at seemingly impossible long range—kills Bell’s best witness. Then the shooter detonates a terrible explosion that sets the victim’s independent refinery ablaze. Bell summons his best detectives to hunt down the mysterious killer. But the murders—shootings, poisonings, staged accidents—have just begun as Bell tracks his phantom-like criminal adversary from the “oil fever” regions of Kansas and Texas to Washington, D. C. , to the tycoons’ enclave of New York, to Russia’s war-torn Baku oil fields on the Caspian Sea, and back to America for a final, desperate confrontation. And this one will be the most explosive of all. "
76, Die Again (Rizzoli & Isles #11), Tess Gerritsen,9.78035E+12, English,330," December 30, 2014"," Mystery, Thriller, Crime, Fiction, Mystery Thriller, Suspense, Detective", 4.19 avg rating - 28.369 ratings,196,2, https://www.goodreads.com/book/show/21489683-die-again, https://www.goodreads.com/author/show/18149.Tess_Gerritsen, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1395144977i/21489683.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1395144977i/21489683._SY75_.jpg," The latest enthralling case in Tess Gerritsen's New York Times bestselling Rizzoli & Isles series, the blockbuster books behind the smash hit TNT series. Boston Detective Jane Rizzoli is on the case of a big game hunter found dead in his apartment, alone with the body of a beautiful white snow leopard he had recently been commissioned to procure and stuff for a high-profile museum in the area. Medical examiner Maura Isles connects the case to a number of seemingly unrelated deaths where the victims have all been found hanging upside down, the hallmark of a leopard's kill. Rizzoli follows the puzzling trail of clues all the way to Botswana, where she uncovers the unsolved mystery of a deadly camping safari six years prior. When she realizes the two cases are connected, Rizzoli must track down the sole survivor of the tragic trip to discover who - or what - is behind these gruesome deaths. Story Locale: Boston, MA"
77, Insatiable Appetites (Stone Barrington #32), Stuart Woods,9.7804E+12, English,320," January 6, 2015"," Mystery, Fiction, Thriller, Audiobook, Suspense, Crime, Mystery Thriller", 3.86 avg rating - 5.526 ratings,196,2, https://www.goodreads.com/book/show/22521941-insatiable-appetites, https://www.goodreads.com/author/show/3936.Stuart_Woods, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1406505908i/22521941.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1406505908i/22521941._SY75_.jpg," Stone Barrington returns in the new action-packed thriller from the #1 New York Times –bestselling author.  It’s a time of unexpected change for Stone Barrington. A recent venture has achieved a great victory, but is immediately faced with a new challenge: an underhanded foe who’s determined to wreak havoc at any cost. Meanwhile, when Stone finds himself responsible for distributing the estate of a respected friend and mentor, the process unearths secrets that range from merely surprising to outright alarming. And when a lethal beauty from Stone’s past resurfaces, there’s no telling what chaos will follow in her wake . . . Ever a master of keeping cool under pressure, even Stone might have his work cut out for him this time . . . because when grand ambitions collide with criminal inclinations, the results may be more deadly than he could have anticipated. "
78, The Fixer, Joseph Finder,9.78053E+12, English,376," June 9, 2015"," Mystery, Thriller, Fiction, Suspense, Mystery Thriller, Crime, Audiobook", 3.71 avg rating - 7.361 ratings,196,2, https://www.goodreads.com/book/show/23281921-the-fixer, https://www.goodreads.com/author/show/63460.Joseph_Finder, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1414349079i/23281921.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1414349079i/23281921._SY75_.jpg," New York Times bestselling author Joseph Finder delivers his next breakneck stand-alone thriller about the secrets families can keep, and the danger of their discovery When former investigative reporter Rick Hoffman loses his job, fiancée, and apartment, his only option is to move back into — and renovate — the home of his miserable youth, now empty and in decay since the stroke that put his father in a nursing home. As Rick starts to pull apart the old house, he makes an electrifying discovery — millions of dollars hidden in the walls. It’s enough money to completely transform Rick’s life — and everything he thought he knew about his father.   Yet the more of his father’s hidden past that Rick brings to light, the more dangerous his present becomes. Soon, he finds himself on the run from deadly enemies desperate to keep the past buried, and only solving the mystery of his father — a man who has been unable to communicate, comprehend, or care for himself for almost 20 years — will save Rick. . . if he can survive long enough to do it. "
79, The Assassination Option (Clandestine Operations #2), W.E.B. Griffin,9.7804E+12, English,481," December 30, 2014"," Fiction, Historical Fiction, Thriller, Military Fiction, Espionage, War, Suspense", 4.14 avg rating - 2.197 ratings,195,2, https://www.goodreads.com/book/show/23013640-the-assassination-option, https://www.goodreads.com/author/show/1415338.W_E_B_Griffin, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1417983003i/23013640.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1417983003i/23013640._SY75_.jpg," In Top Secret, W. E. B. Griffin introduced a remarkable new cast of heroes as they found themselves on the front lines of an entirely different kind of war. Now, these men and women are going to find out what they’ve really gotten themselves into. James Cronley thought he had done well—he didn’t know he’d done this well. His first successful mission for the about-to-be-official new Central Intelligence Directorate has drawn all kinds of attention, some welcome, some not. On the plus side, he’s now a captain promoted to Chief, DCI, Europe and in charge of a top secret spy operation. On the minus side, a lot of people would like to know about that operation, including not only the Soviets, but his own Pentagon, as well as a seething J. Edgar Hoover. Cronley knows that if just one thing goes wrong, he’s likely to get thrown to the wolves. As if that weren’t enough pressure, complications are springing up on all sides. He’s discovered a surprising alliance between the former German intelligence chief and, of all things, the Mossad. A German family that Cronley never knew he had has suddenly, and suspiciously, emerged. And he’s due for a rendezvous with an undercover agent against the Soviets known only as Seven K. It’s when he meets Seven K that he gets the real surprise. "
80, The Third Target (J. B. Collins #1), Joel C. Rosenberg,9.78141E+12, English,450," January 6, 2015"," Fiction, Christian Fiction, Thriller, Christian, Suspense, Politics, Historical Fiction", 4.29 avg rating - 6.474 ratings,193,2, https://www.goodreads.com/book/show/22798864-the-third-target, https://www.goodreads.com/author/show/221833.Joel_C_Rosenberg, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1422215356i/22798864.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1422215356i/22798864._SX50_.jpg," When New York Times foreign correspondent J. B. Collins hears rumors that an al-Qaeda splinter cell--ISIS--has captured a cache of chemical weapons inside Syria, he knows this is a story he must pursue at all costs. Does the commander of the jihadist faction really have weapons of mass destruction? If so, who is the intended target? The U. S. ? Israel? Or someone else? With tensions already high, the impending visit of the American president to the region could prove to be the spark that sets off an explosion of horrendous proportions. Knowing that terrorist forces are already trying to bring down two Arab governments in the region--Iraq and Syria--can Collins uncover the truth before it's too late? Or will the terrorists succeed in setting their sights on the third target and achieving genocide?"
81, Dead Ice (Anita Blake Vampire Hunter #24), Laurell K. Hamilton,9.78076E+12, English,566," June 9, 2015"," Urban Fantasy, Paranormal, Vampires, Fantasy, Romance, Paranormal Romance, Fiction", 3.94 avg rating - 14.618 ratings,193,2, https://www.goodreads.com/book/show/21066968-dead-ice, https://www.goodreads.com/author/show/9550.Laurell_K_Hamilton, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1421548154i/21066968.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1421548154i/21066968._SY75_.jpg," ""If you've never read this series, I highly recommend/strongly suggest having the Anita Blake experience. Vampires, zombies, and shifters, oh my! And trust me, these are not your daughter's vampires. ""-LITERATI BOOK REVIEWSAnita Blake has the highest kill count of any vampire executioner in the country. She’s a U. S. Marshal who can raise zombies with the best of them. But ever since she and master vampire Jean-Claude went public with their engagement, all she is to anyone and everyone is Jean-Claude’s fiancée. It’s wreaking havoc with her reputation as a hard ass—to some extent. Luckily, in professional circles, she’s still the go-to expert for zombie issues. And right now, the FBI is having one hell of a zombie issue. Someone is producing zombie porn. Anita has seen her share of freaky undead fetishes, so this shouldn’t bother her. But the women being victimized aren’t just mindless, rotting corpses. Their souls are trapped behind their eyes, signaling voodoo of the blackest kind. It’s the sort of case that can leave a mark on a person. And Anita’s own soul may not survive unscathed . . . "
82, Brothers Forever, Patrick Winsor, null, English,87," November 5, 2015"," M M Romance, College", 2.81 avg rating - 27 ratings,193,2, https://www.goodreads.com/book/show/27508183-brothers-forever, https://www.goodreads.com/author/show/14611951.Patrick_Winsor, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1446836591i/27508183.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1446836591i/27508183._SY75_.jpg," They'll meet. They'll clique. They'll do anything for each other, but one hasn't discovered he's gay. . . yet. Experience this powerful and emotional college bromance as Levi and Jayden explore their dark sexual desires and discover just how far each of them is willing to go for true love. Levi, a legend below the belt, has always had his choice of men. He's never had a need for any one man in his life. In fact, he's loyal and dedicated to his family, an entire brotherhood of men. But his new roommate may make him reconsider his priorities. Will he break their rules or control his lust while bunking above this hunk he assumes is gay?Jayden has never quite fit in. He's always wanted to be one of the popular guys, and after spending the summer in the gym, he has the looks to have any woman he wants. His new roommate is going to make the prefect wingman while he discovers himself at college, but will one fraternity party make him reconsider his motives?This book contains adult subject matter that may be inappropriate for all readers. Side effects, which may include blushing, cringing, crying, and laughing, are known to occur individually and simultaneously. If you experience any of these symptoms, immediately schedule some alone (or not so alone) time. Use caution when exposing others to any new desires that may arise after reading this novella. Be advised, many of the risky behaviors in this book may result in broken hearts, ruined marriages, bodily harm, or visits to your local clinic. "
